ANO;MÊS;PRODUTO;OPERAÇÃO COMERCIAL;IMPORTADO / EXPORTADO;DISPÊNDIO / RECEITA
2000;SET;OUTROS NÃO ENERGÉTICOS;EXPORTAÇÃO;31,306;52628
2000;ABR;OUTROS NÃO ENERGÉTICOS;IMPORTAÇÃO;382,335;946940
2000;AGO;OUTROS NÃO ENERGÉTICOS;IMPORTAÇÃO;321,636;926512
2000;DEZ;OUTROS NÃO ENERGÉTICOS;IMPORTAÇÃO;388,111;890329
2000;FEV;OUTROS NÃO ENERGÉTICOS;IMPORTAÇÃO;170,99;540778
2000;JAN;OUTROS NÃO ENERGÉTICOS;IMPORTAÇÃO;247,039;703723
2000;JUL;OUTROS NÃO ENERGÉTICOS;IMPORTAÇÃO;390,971;1179267
2000;JUN;OUTROS NÃO ENERGÉTICOS;IMPORTAÇÃO;543,792;724107
2000;MAI;OUTROS NÃO ENERGÉTICOS;IMPORTAÇÃO;243,463;785811
2000;MAR;OUTROS NÃO ENERGÉTICOS;IMPORTAÇÃO;277,202;866456
2000;NOV;OUTROS NÃO ENERGÉTICOS;IMPORTAÇÃO;193,414;520874
2000;OUT;OUTROS NÃO ENERGÉTICOS;IMPORTAÇÃO;316,558;755239
2000;SET;OUTROS NÃO ENERGÉTICOS;IMPORTAÇÃO;227,208;674458
2000;ABR;PARAFINA;EXPORTAÇÃO;1366,270732;599649
2000;AGO;PARAFINA;EXPORTAÇÃO;3796,518293;1177234
2000;DEZ;PARAFINA;EXPORTAÇÃO;4559,106098;1740751
2000;FEV;PARAFINA;EXPORTAÇÃO;6630,093902;2683300
2000;JAN;PARAFINA;EXPORTAÇÃO;580,8829268;301718
2000;JUL;PARAFINA;EXPORTAÇÃO;8234,403659;2860411
2000;JUN;PARAFINA;EXPORTAÇÃO;5902,971951;2390486
2000;MAI;PARAFINA;EXPORTAÇÃO;4178,043902;1833797
2000;MAR;PARAFINA;EXPORTAÇÃO;682,245122;368125
2000;NOV;PARAFINA;EXPORTAÇÃO;432,195122;243679
2000;OUT;PARAFINA;EXPORTAÇÃO;804,2634146;474943
2000;SET;PARAFINA;EXPORTAÇÃO;2207,793902;523882
2000;ABR;PARAFINA;IMPORTAÇÃO;737,6158537;511119
2000;AGO;PARAFINA;IMPORTAÇÃO;1237,897561;778961
2000;DEZ;PARAFINA;IMPORTAÇÃO;536,8329268;358946
2000;FEV;PARAFINA;IMPORTAÇÃO;766,7085366;580677
2000;JAN;PARAFINA;IMPORTAÇÃO;877,0109756;719978
2000;JUL;PARAFINA;IMPORTAÇÃO;695,0341463;486333
2000;JUN;PARAFINA;IMPORTAÇÃO;1168,428049;848088
2000;MAI;PARAFINA;IMPORTAÇÃO;946,095122;563615
2000;MAR;PARAFINA;IMPORTAÇÃO;695,2865854;404257
2000;NOV;PARAFINA;IMPORTAÇÃO;476,8365854;349109
2000;OUT;PARAFINA;IMPORTAÇÃO;929,2597561;729330
2000;SET;PARAFINA;IMPORTAÇÃO;784,3134146;564835
2000;ABR;QUEROSENE DE AVIAÇÃO;EXPORTAÇÃO;0;0
2000;AGO;QUEROSENE DE AVIAÇÃO;EXPORTAÇÃO;0;0
2000;DEZ;QUEROSENE DE AVIAÇÃO;EXPORTAÇÃO;0,002531646;20
2000;FEV;QUEROSENE DE AVIAÇÃO;EXPORTAÇÃO;0;0
2000;JAN;QUEROSENE DE AVIAÇÃO;EXPORTAÇÃO;440,0683544;91790
2000;JUL;QUEROSENE DE AVIAÇÃO;EXPORTAÇÃO;287,0050633;67839
2000;JUN;QUEROSENE DE AVIAÇÃO;EXPORTAÇÃO;316,6291139;71323
2000;MAI;QUEROSENE DE AVIAÇÃO;EXPORTAÇÃO;1408,581013;302007
2000;MAR;QUEROSENE DE AVIAÇÃO;EXPORTAÇÃO;902,6113924;212825
2000;NOV;QUEROSENE DE AVIAÇÃO;EXPORTAÇÃO;0;0
2000;OUT;QUEROSENE DE AVIAÇÃO;EXPORTAÇÃO;0;0
2000;SET;QUEROSENE DE AVIAÇÃO;EXPORTAÇÃO;0;0
2000;ABR;QUEROSENE DE AVIAÇÃO;IMPORTAÇÃO;32357,1443;6415084
2000;AGO;QUEROSENE DE AVIAÇÃO;IMPORTAÇÃO;78073,46835;16843205
2000;DEZ;QUEROSENE DE AVIAÇÃO;IMPORTAÇÃO;91683,82911;25860102
2000;FEV;QUEROSENE DE AVIAÇÃO;IMPORTAÇÃO;27120,27848;5822144
2000;JAN;QUEROSENE DE AVIAÇÃO;IMPORTAÇÃO;42274,2962;8152130
2000;JUL;QUEROSENE DE AVIAÇÃO;IMPORTAÇÃO;134513,443;28325266
2000;JUN;QUEROSENE DE AVIAÇÃO;IMPORTAÇÃO;33538,41013;6804482
2000;MAI;QUEROSENE DE AVIAÇÃO;IMPORTAÇÃO;50954,73418;10259539
2000;MAR;QUEROSENE DE AVIAÇÃO;IMPORTAÇÃO;108794,4987;22852301
2000;NOV;QUEROSENE DE AVIAÇÃO;IMPORTAÇÃO;105032,8076;28065044
2000;OUT;QUEROSENE DE AVIAÇÃO;IMPORTAÇÃO;146714,1114;39507552
2000;SET;QUEROSENE DE AVIAÇÃO;IMPORTAÇÃO;51737,35823;13153166
2000;ABR;QUEROSENE ILUMINANTE;EXPORTAÇÃO;0;0
2000;AGO;QUEROSENE ILUMINANTE;EXPORTAÇÃO;0;0
2000;DEZ;QUEROSENE ILUMINANTE;EXPORTAÇÃO;0;0
2000;FEV;QUEROSENE ILUMINANTE;EXPORTAÇÃO;0;0
2000;JAN;QUEROSENE ILUMINANTE;EXPORTAÇÃO;0;0
2000;JUL;QUEROSENE ILUMINANTE;EXPORTAÇÃO;0;0
2000;JUN;QUEROSENE ILUMINANTE;EXPORTAÇÃO;0;0
2000;MAI;QUEROSENE ILUMINANTE;EXPORTAÇÃO;0;0
2000;MAR;QUEROSENE ILUMINANTE;EXPORTAÇÃO;0;0
2000;NOV;QUEROSENE ILUMINANTE;EXPORTAÇÃO;0;0
2000;OUT;QUEROSENE ILUMINANTE;EXPORTAÇÃO;0;0
2000;SET;QUEROSENE ILUMINANTE;EXPORTAÇÃO;0;0
2000;ABR;QUEROSENE ILUMINANTE;IMPORTAÇÃO;0;0
2000;AGO;QUEROSENE ILUMINANTE;IMPORTAÇÃO;0;0
2000;DEZ;QUEROSENE ILUMINANTE;IMPORTAÇÃO;0;0
2000;FEV;QUEROSENE ILUMINANTE;IMPORTAÇÃO;0;0
2000;JAN;QUEROSENE ILUMINANTE;IMPORTAÇÃO;0;0
2000;JUL;QUEROSENE ILUMINANTE;IMPORTAÇÃO;0;0
2000;JUN;QUEROSENE ILUMINANTE;IMPORTAÇÃO;0;0
2000;MAI;QUEROSENE ILUMINANTE;IMPORTAÇÃO;0;0
2000;MAR;QUEROSENE ILUMINANTE;IMPORTAÇÃO;0;0
2000;NOV;QUEROSENE ILUMINANTE;IMPORTAÇÃO;0;0
2000;OUT;QUEROSENE ILUMINANTE;IMPORTAÇÃO;0;0
2000;SET;QUEROSENE ILUMINANTE;IMPORTAÇÃO;0;0
2000;ABR;SOLVENTE;EXPORTAÇÃO;37419,8274;10034749
2000;AGO;SOLVENTE;EXPORTAÇÃO;36432,67808;10834660
2000;DEZ;SOLVENTE;EXPORTAÇÃO;32278,26027;8596815
2000;FEV;SOLVENTE;EXPORTAÇÃO;36855,12192;8967548
2000;JAN;SOLVENTE;EXPORTAÇÃO;63760,00274;13564458
2000;JUL;SOLVENTE;EXPORTAÇÃO;54332,62466;15562096
2000;JUN;SOLVENTE;EXPORTAÇÃO;17256,80959;5057962
2000;MAI;SOLVENTE;EXPORTAÇÃO;73913,95342;17303838
2000;MAR;SOLVENTE;EXPORTAÇÃO;49094,6726;12391942
2000;NOV;SOLVENTE;EXPORTAÇÃO;37455,51507;10090458
2000;OUT;SOLVENTE;EXPORTAÇÃO;38352,95479;10986301
2000;SET;SOLVENTE;EXPORTAÇÃO;57456,27671;16236032
2000;ABR;SOLVENTE;IMPORTAÇÃO;4754,434247;1823264
2000;AGO;SOLVENTE;IMPORTAÇÃO;10251,3863;3978274
2000;DEZ;SOLVENTE;IMPORTAÇÃO;16923,14521;5541939
2000;FEV;SOLVENTE;IMPORTAÇÃO;15620,07534;5660559
2000;JAN;SOLVENTE;IMPORTAÇÃO;11669,24384;3898136
2000;JUL;SOLVENTE;IMPORTAÇÃO;13737,42466;4932879
2000;JUN;SOLVENTE;IMPORTAÇÃO;1568,90274;804875
2000;MAI;SOLVENTE;IMPORTAÇÃO;13893,45205;4826992
2000;MAR;SOLVENTE;IMPORTAÇÃO;5341,952055;1501295
2000;NOV;SOLVENTE;IMPORTAÇÃO;23353;8009733
2000;OUT;SOLVENTE;IMPORTAÇÃO;11607,28082;4250565
2000;SET;SOLVENTE;IMPORTAÇÃO;10079,03973;2538534
2000;ABR;ÓLEO COMBUSTÍVEL;EXPORTAÇÃO;0;0
2000;AGO;ÓLEO COMBUSTÍVEL;EXPORTAÇÃO;311395,8306;46761040
2000;DEZ;ÓLEO COMBUSTÍVEL;EXPORTAÇÃO;16531,75204;2933412
2000;FEV;ÓLEO COMBUSTÍVEL;EXPORTAÇÃO;113522,3867;16453909
